date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2025-02-09,2025,2,9,Middle East,Saudi Arabia,Respiratory,Salbutamol,26-45,406,22.59,39,781,0
2023-11-13,2023,11,13,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,26-45,318,13.14,122,173,0
2022-11-08,2022,11,8,Middle East, Saudi Arabia ,Cough_Cold,Cough Syrup,13-25,500,11.15,1313,291,1
2024-03-10,2024,3,10,Africa,South Africa,Cardiovascular,Amlodipine,46-65,435,20.11,1092,573,0
2024-03-15,2024,3,15,Africa,Nigeria,Diabetes,Metformin,65+,27,14.93,170,340,0
2022-01-21,2022,1,21,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,65+,373,6.8,290,489,1
2024-09-04,2024,9,4,Africa,Australia,Diabetes,Metformin,65+,202,16.12,74,82,0
2025-12-27,2025,12,27,Oceania,New Zealand,Antibiotic,Amoxicillin,0-12,214,26.73,568,246,0
2020-12-09,2020,12,9,Africa,South Africa,Respiratory,Salbutamol,26-45,18,20.96,1940,850,1
2025-03-07,2025,3,7,Africa,South Africa,Vitamin,Vitamin C,13-25,399,10.5,45,164,0
2021-01-22,2021,1,22,East Asia,China,Cardiovascular,Atorvastatin,65+,211,23.62,1057,94,1
2024-06-09,2024,6,9,South Asia,Bangladesh,Cardiovascular,Amlodipine,65+,464,27.31,1140,678,0
2022-04-06,2022,4,6,North America,USA,Cough_Cold,Cough Syrup,0-12,482,13.78,34,688,1
2021-03-12,2021,3,12,South America,Brazil,Vitamin,Vitamin C,65+,146,8.42,1565,489,1
2025-07-31,2025,7,31,South Asia,Bangladesh,Chronic,Omeprazole,26-45,364,41.76,357,810,0
2025-07-31,2025,7,31,Africa,South Africa,Diabetes,Metformin,13-25,114,13.87,1730,339,0
2021-11-04,2021,11,4,Africa,South Africa,Chronic,Omeprazole,46-65,403,33.76,47,507,1
2024-09-02,2024,9,2,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,180,10.4,575,846,0
2022-12-10,2022,12,10,Africa,South Africa,Vitamin,Vitamin C,13-25,340,10.38,1059,565,1
2020-01-17,2020,1,17,North America,Canada,Vitamin,Vitamin C,65+,338,10.32,33,562,1
2024-03-03,2024,3,3,South Asia,Bangladesh,Antibiotic,Azithromycin,46-65,425,30.84,17,638,0
2020-11-27,2020,11,27,Africa,South Africa,Vitamin,Vitamin C,26-45,142,8.66,476,,1
2020-11-07,2020,11,7,Oceania,New Zealand,Cardiovascular,Atorvastatin,13-25,340,28.03,1133,644,1
2022-03-29,2022,3,29,South Asia,Bangladesh,Cough_Cold,Cough Syrup,13-25,305,9.96,843,420,1
2023-11-26,2023,11,26,Middle East,Saudi Arabia,Diabetes,Metformin,13-25,463,16.3,8,945,0
2024-08-26,2024,8,26,Middle East,Saudi Arabia,Diabetes,Metformin,65+,113,12.42,1321,921,0
2025-06-25,2025,6,25,Africa,South Africa,Cardiovascular,Amlodipine,65+,225,28.18,190,681,0
2025-10-30,2025,10,30,Middle East,Saudi Arabia,Diabetes,Metformin,26-45,477,16.3,748,733,0
2022-08-02,2022,8,2,Oceania,Australia,Vitamin,Vitamin C,13-25,78,11.48,1576,546,1
2024-10-03,2024,10,3,South America,Brazil,Respiratory,Salbutamol,26-45,491,21.17,19,54,0
2021-07-12,2021,7,12,Africa,South Africa,Respiratory,Salbutamol,0-12,374,22.73,1402,293,1
2020-09-19,2020,9,19,Middle East,UAE,Antibiotic,Azithromycin,26-45,372,24.09,1185,99,1
2025-05-25,2025,5,25,South Asia,Bangladesh,Antibiotic,Amoxicillin,46-65,93,31.96,1398,225,0
2024-09-13,2024,9,13,South America,Colombia,Cough_Cold,Cough Syrup,46-65,57,12.91,-104,801,0
2022-12-24,2022,12,24,Europe,Germany,Cough_Cold,Cough Syrup, 13-25 ,59,14.33,1870,153,1
2020-09-30,2020,9,30,Africa,Nigeria,Antibiotic,Amoxicillin,26-45,73,28.68,966,309,1
2023-11-02,2023,11,2,Africa,South Africa,Cough_Cold,Cough Syrup,0-12,91,12.83,12,302,0
2025-11-16,2025,11,16,Europe,Germany,Cough_Cold,Cough Syrup,13-25,430,11.81,46,171,0
2024-01-15,2024,1,15,South America,Brazil,Cardiovascular,Atorvastatin,26-45,123,25.9,747,662,0
2020-10-28,2020,10,28,Africa,South Africa,Antibiotic,Azithromycin,46-65,374,28.98,171,995,1
2022-10-06,2022,10,6,East Asia,Japan,Diabetes,Metformin,13-25,153,15.82,148,521,1
2025-12-09,2025,12,9,South Asia,India,Cough_Cold,Cough Syrup,0-12,150,9.63,133,265,0
2025-04-27,2025,4,27,Oceania,Australia,Cough_Cold,Cough Syrup,13-25,155,12.7,385,372,0
2024-03-05,2024,3,5,South America,Colombia,Vitamin,Vitamin C,13-25,189,8.46,16,546,0
2021-03-05,2021,3,5,Africa,South Africa,Vitamin,Vitamin C,0-12,50000,10000,1631,755,1
2021-05-08,2021,5,8,Africa,Nigeria,Diabetes,Metformin,46-65,287,16.78,139,972,1
2022-10-13,2022,10,13,Middle East,Saudi Arabia,Diabetes,Metformin,13-25,143,12.61,623,441,1
2020-01-29,2020,1,29,South Asia,Germany,Respiratory,Salbutamol,13-25,196,17.5,1428,585,1
2021-03-21,2021,3,21,Europe,France,Pain_Relief,Ibuprofen,65+,189,6.55,145,672,1
2023-06-03,2023,6,3,Europe,France,Pain_Relief,Paracetamol,13-25,285,6.96,1184,452,0
2025-07-22,2025,7,22,Africa,Nigeria,Antibiotic,Amoxicillin,0-12,40,30.02,-256,578,0
2021-03-28,2021,3,28,Oceania,Australia,Antibiotic,Amoxicillin,26-45,35,28.36,787,586,1
2020-08-03,2020,8,3,East Asia,China,Antibiotic,Azithromycin,26-45,397,24.78,38,595,1
2021-12-03,2021,12,3,Europe,Italy,Vitamin, Vitamin C ,46-65,390,11.31,100,597,1
2023-08-28,2023,8,28,Oceania,New Zealand,Cardiovascular,Amlodipine,46-65,317,24.05,422,312,0
2020-03-07,2020,3,7,South America,Argentina,Chronic,Omeprazole,65+,357,43.74,73,892,1
,2020,11,10,Africa,South Africa,Diabetes,Metformin,65+,359,15.65,13,525,1
2024-09-27,2024,9,27,Europe,Germany,Respiratory,Salbutamol, 26-45 ,178,23.95,1485,457,0
2021-12-14,2021,12,14,Middle East,UAE,Antibiotic,Azithromycin,0-12,262,26.84,46,407,1
2020-07-22,2020,7,22,East Asia,Japan,Respiratory,Salbutamol,26-45,80,22.56,1437,634,1
2020-08-11,2020,8,11,Oceania,Australia,Respiratory,Salbutamol,26-45,123,20.94,1434,948,1
2022-01-23,2022,1,23,North America,Mexico,Cardiovascular, Atorvastatin ,65+,462,24.41,41,889,1
2022-02-14,2022,2,14,Africa,Nigeria,Cardiovascular,Atorvastatin,26-45,193,21.64,354,168,1
2023-06-28,2023,6,28, North America ,Mexico,Diabetes,Metformin,46-65,224,13.97,28,311,0
2023-10-23,2023,10,23,South Asia,India,Chronic,Omeprazole,,469,34.77,1294,87,0
2022-09-19,2022,9,19,East Asia,China,Cough_Cold,Cough Syrup,0-12,112,12.53,1496,218,1
2021-12-16,2021,12,16,Oceania,Australia,Antibiotic,Amoxicillin,46-65,463,33.65,670,999,1
2023-05-08,2023,5,8,Middle East,Saudi Arabia,Diabetes,Metformin,46-65,366,16.31,851,862,0
2024-12-26,2024,12,26,South America,Brazil,Diabetes,Metformin, 26-45 ,489,13.18,1287,275,0
2024-01-16,2024,1,16,Middle East,Saudi Arabia,Chronic, Omeprazole ,65+,18,35.93,-166,802,0
2020-07-23,2020,7,23,Oceania,Australia,Vitamin,Vitamin C,46-65,489,10.31,39,980,1
2024-12-13,2024,12,13,North America,Mexico,Respiratory,Salbutamol,26-45,15,21.75,417,957,0
2024-11-03,2024,11,3,Middle East,Saudi Arabia,Antibiotic,Azithromycin,65+,140,24.81,1820,253,0
2021-04-08,2021,4,8,South Asia,India,Respiratory,Salbutamol,65+,46,22.37,1569,397,1
2024-02-03,2024,2,3,Europe,France,Diabetes,Metformin,0-12,54,15.86,721,836,0
2024-02-09,2024,2,9, South America ,Colombia,Vitamin,Vitamin C,65+,106,8.06,1422,135,0
2022-11-09,2022,11,9,Oceania,New Zealand,Diabetes,Metformin,13-25,182,15.14,933,454,1
2024-04-06,2024,4,6,East Asia,South Korea,Cough_Cold,Cough Syrup, 46-65 ,393,10.05,578,748,0
2025-06-09,2025,6,9,Europe,Germany,Pain_Relief,Ibuprofen,65+,297,8.53,1025,533,0
2021-07-03,2021,7,3,Europe,France,Chronic,Omeprazole,65+,285,35.47,1289,343,1
2021-02-25,2021,2,25,South America,Argentina,Antibiotic,Azithromycin,46-65,288,33.45,1627,357,1
2021-11-26,2021,11,26,South America,Colombia,Vitamin,Vitamin C,13-25,295,8.17,608,115,1
2023-03-09,2023,3,9,Europe,UK,Chronic,Omeprazole,65+,169,40.74,328,283,0
2023-11-14,2023,11,14,Oceania,Australia,Chronic,Omeprazole,46-65,440,43.07,1099,808,0
2025-11-09,2025,11,9,South America,Brazil,Cough_Cold,Cough Syrup,13-25,250,11.11,39,56,0
2023-06-14,2023,6,14,Europe,France,Antibiotic,Azithromycin,13-25,487,-31.6,18,80,0
2021-07-22,2021,7,22,Oceania,Australia,Vitamin,Vitamin C,46-65,340,11.66,49,445,1
2025-12-01,2025,12,1,Africa,Nigeria,Antibiotic,Azithromycin,13-25,95,26.02,390,533,0
2023-01-28,2023,1,28,South Asia,India,Respiratory,Salbutamol,65+,462,21.45,798,467,0
2023-01-12,2023,1,12,Oceania,New Zealand,Cough_Cold,Cough Syrup,26-45,337,11.92,1357,310,0
2024-07-20,2024,7,20,North America,Canada,Vitamin,Vitamin C,0-12,415,11.12,126,557,0
2023-12-24,2023,12,24,South America,Argentina,Vitamin,Vitamin C,13-25,54,11.44,489,201,0
2025-07-17,2025,7,17,Middle East,Saudi Arabia,Diabetes,Metformin,46-65,275,14.34,1723,857,0
2020-12-24,2020,12,24,East Asia,China,Chronic,Omeprazole,65+,220,46.38,1226,220,1
2021-01-20,2021,1,20,Europe,Italy,Antibiotic,Amoxicillin,26-45,240,30.22,1705,830,1
2025-09-25,2025,9,,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,69,12.17,757,447,0
2023-08-02,2023,8,2,South America,Colombia,Cardiovascular,Atorvastatin,13-25,210,20.15,332,811,0
2021-07-23,2021,7,23,Europe,UK,Pain_Relief,Paracetamol,46-65,296,7.25,916,954,1
2021-08-27,2021,8,27,Europe,Italy,Vitamin,Vitamin C,13-25,77,8.35,753,508,1
2025-01-27,2025,1,27,South America,Argentina,Respiratory,Salbutamol,65+,163,21.58,658,243,0
2022-05-27,2022,5,27,East Asia,Japan,Respiratory,Salbutamol,26-45,462,20.53,1480,-5,1
2025-03-06,2025,3,6,North America,Canada,Diabetes,Metformin,46-65,248,13.0,46,551,0
2022-06-13,2022,6,13,East Asia,South Korea,Cough_Cold,Cough Syrup,26-45,453,13.19,1365,54,1
2022-11-14,2022,11,14,South America,Brazil,Respiratory,Salbutamol,26-45,152,23.46,1442,949,1
2021-11-17,2021,11,17,Europe,Italy,Vitamin,Vitamin C,46-65,183,10.17,1401,402,1
2025-07-12,2025,7,12,East Asia,China,Chronic,Omeprazole,65+,246,44.12,756,838,0
2021-09-10,2021,9,10,Oceania,New Zealand,Chronic,Omeprazole,65+,356,35.23,1662,965,1
2022-01-28,2022,1,28,South America,Colombia,Vitamin,Vitamin C,46-65,319,8.21,1425,266,1
2020-06-04,2020,6,4,Africa,Nigeria,Cardiovascular,Atorvastatin,65+,486,28.81,958,537,1
2022-07-18,2022,7,18,North America,USA,Vitamin,Vitamin C,13-25,264,11.22,477,554,1
2025-09-23,2025,9,23,South America,Colombia,Cardiovascular,Atorvastatin,13-25,49,27.47,698,628,0
2020-07-06,2020,7,6,Africa,South Africa,Cardiovascular,Atorvastatin,46-65,410,22.07,474,311,1
2021-04-21,2021,4,21,Europe,Italy,Cardiovascular,Atorvastatin,26-45,289,28.51,42,910,1
2024-08-27,2024,8,27,Oceania,Australia,Antibiotic,Azithromycin,13-25,118,33.85,1888,328,0
2024-10-22,2024,10,22,Africa,South Africa,Cough_Cold,Cough Syrup,46-65,486,12.91,495,303,0
2021-02-21,2021,2,21,North America,Mexico,Antibiotic,Amoxicillin,26-45,273,34.5,126,108,1
2021-02-19,2021,2,19,Europe,France,Cough_Cold,Cough Syrup,46-65,81,9.82,1298,35,1
2021-08-17,2021,8,17,Africa,Nigeria,Pain_Relief,Paracetamol,13-25,308,7.97,906,683,1
2024-06-16,2024,6,16,South Asia,Bangladesh,Chronic,Omeprazole,46-65,295,33.17,58,983,0
2025-04-02,2025,4,2,South America,Brazil,Chronic, Omeprazole ,26-45,153,41.85,679,888,0
2022-10-31,2022,10,31,South Asia,India,Respiratory,Salbutamol,65+,382,16.33,877,357,1
2022-10-03,2022,10,3,Africa,South Africa,Cardiovascular,Amlodipine, 26-45 ,65,24.27,1378,70,1
2025-01-11,2025,1,11,Europe,France,Diabetes,Metformin,0-12,185,13.47,1527,851,0
2021-04-24,2021,4,24,Oceania,Australia,Cough_Cold,Cough Syrup,13-25,174,10.4,105,594,1
2021-04-26,2021,4,26,Africa,Nigeria,Respiratory,Salbutamol,46-65,355,17.2,1266,876,1
2023-12-27,2023,12,27,South America,Brazil,Cough_Cold,Cough Syrup,0-12,229,13.04,672,825,0
2025-09-23,2025,9,23,Europe,France,Chronic,Omeprazole,65+,349,47.32,219,380,0
2023-12-15,2023,12,15,East Asia,China,Vitamin,Vitamin C,13-25,358,9.84,37,300,0
2021-07-30,2021,7,30,Oceania,Australia,Vitamin,Vitamin C,13-25,409,9.67,205,693,1
2021-08-12,2021,8,12,Oceania,New Zealand,Respiratory,Salbutamol,26-45,174,20.03,222,713,1
2023-03-13,2023,3,13,Oceania,,Vitamin,Vitamin C,26-45,288,11.27,1000,465,0
2023-11-24,2023,11,24,Africa,South Africa,Vitamn,Vitamin C,13-25,190,9.63,517,511,0
2021-02-11,2021,2,11,South America,Argentina,Cough_Cold,Cough Syrup,13-25,242,-10.47,1759,905,1
2020-12-27,2020,12,27,South America,Argentina,Respiratory, Salbutamol ,13-25,195,19.67,1367,717,1
2024-06-26,2024,6,26,Africa,South Africa, Vitamin ,Vitamin C,65+,78,10.77,100,532,0
2025-07-04,2025,7,4,Europe,Italy,Vitamin,Vitamin C,0-12,230,9.46,1194,503,0
2021-04-01,2021,4,1,East Asia,South Korea,Diabetes,Metformin,65+,20,13.36,183,839,1
2023-12-01,2023,12,1,Africa,South Africa,Vitamin,Vitamin C,65+,249,10.9,457,182,0
2021-03-23,2021,3,23,Africa,Germany,Vitamin,Vitamin C,13-25,25,8.26,1281,526,1
2025-10-20,2025,10,20,North America,Mexico, Cough_Cold ,Cough Syrup,65+,19,13.41,787,868,0
